,Customer ID,Company,Frequency
0,29290.0,Pink Cab,1
1,29290.0,Yellow Cab,2
2,27703.0,Pink Cab,2
3,27703.0,Yellow Cab,2
4,28712.0,Pink Cab,1
5,28712.0,Yellow Cab,3
6,28020.0,Pink Cab,3
7,28020.0,Yellow Cab,1
8,27182.0,Pink Cab,1
9,27182.0,Yellow Cab,3
10,27318.0,Pink Cab,3
11,27318.0,Yellow Cab,2
12,27602.0,Yellow Cab,4
13,27594.0,Pink Cab,1
14,27594.0,Yellow Cab,4
15,27884.0,Pink Cab,1
16,27884.0,Yellow Cab,4
17,28533.0,Pink Cab,1
18,28533.0,Yellow Cab,2
19,29039.0,Pink Cab,1
20,29039.0,Yellow Cab,1
21,28102.0,Pink Cab,1
22,28102.0,Yellow Cab,2
23,29494.0,Pink Cab,1
24,29494.0,Yellow Cab,2
25,27891.0,Yellow Cab,2
26,29651.0,Pink Cab,1
27,29651.0,Yellow Cab,3
28,27440.0,Pink Cab,1
29,27440.0,Yellow Cab,1
30,29599.0,Pink Cab,2
31,29599.0,Yellow Cab,1
32,27228.0,Yellow Cab,3
33,27705.0,Pink Cab,2
34,27705.0,Yellow Cab,3
35,29009.0,Yellow Cab,3
36,29558.0,Yellow Cab,5
37,27092.0,Yellow Cab,2
38,29443.0,Pink Cab,2
39,29443.0,Yellow Cab,5
40,28932.0,Pink Cab,1
41,28932.0,Yellow Cab,2
42,29559.0,Pink Cab,1
43,29559.0,Yellow Cab,3
44,27749.0,Pink Cab,1
45,27749.0,Yellow Cab,1
46,29675.0,Yellow Cab,7
47,29159.0,Yellow Cab,4
48,28115.0,Yellow Cab,1
49,28137.0,Yellow Cab,3
50,29274.0,Pink Cab,1
51,29274.0,Yellow Cab,2
52,29587.0,Pink Cab,1
53,29587.0,Yellow Cab,2
54,29066.0,Pink Cab,1
55,29729.0,Pink Cab,1
56,29729.0,Yellow Cab,1
57,29324.0,Pink Cab,3
58,29324.0,Yellow Cab,2
59,29780.0,Pink Cab,1
60,29780.0,Yellow Cab,2
61,29654.0,Pink Cab,1
62,29654.0,Yellow Cab,2
63,29150.0,Pink Cab,3
64,29150.0,Yellow Cab,3
65,28548.0,Yellow Cab,4
66,27051.0,Pink Cab,1
67,27051.0,Yellow Cab,3
68,29459.0,Yellow Cab,1
69,28658.0,Yellow Cab,1
70,28076.0,Yellow Cab,3
71,28956.0,Yellow Cab,2
72,28846.0,Yellow Cab,2
73,28416.0,Yellow Cab,1
74,27006.0,Pink Cab,1
75,27006.0,Yellow Cab,3
76,29547.0,Yellow Cab,1
77,27753.0,Pink Cab,1
78,27753.0,Yellow Cab,2
79,27937.0,Pink Cab,1
80,27937.0,Yellow Cab,1
81,27310.0,Yellow Cab,3
82,29010.0,Pink Cab,1
83,29010.0,Yellow Cab,2
84,28751.0,Yellow Cab,3
85,28469.0,Yellow Cab,4
86,27679.0,Yellow Cab,1
87,29822.0,Pink Cab,2
88,29822.0,Yellow Cab,1
89,29285.0,Pink Cab,1
90,29285.0,Yellow Cab,2
91,28342.0,Pink Cab,1
92,28342.0,Yellow Cab,3
93,27253.0,Pink Cab,2
94,27253.0,Yellow Cab,5
95,28144.0,Pink Cab,2
96,28144.0,Yellow Cab,3
97,27841.0,Pink Cab,1
98,27841.0,Yellow Cab,3
99,28570.0,Yellow Cab,3
100,28372.0,Pink Cab,1
101,28372.0,Yellow Cab,7
102,27603.0,Yellow Cab,1
103,28382.0,Yellow Cab,2
104,28583.0,Pink Cab,1
105,28583.0,Yellow Cab,5
106,27874.0,Yellow Cab,6
107,27852.0,Yellow Cab,2
108,27789.0,Pink Cab,1
109,27789.0,Yellow Cab,3
110,28284.0,Pink Cab,1
111,28284.0,Yellow Cab,4
112,27363.0,Yellow Cab,2
113,28970.0,Pink Cab,1
114,28970.0,Yellow Cab,3
115,27464.0,Yellow Cab,1
116,29395.0,Yellow Cab,3
117,28922.0,Yellow Cab,6
118,27376.0,Yellow Cab,4
119,29037.0,Pink Cab,1
120,29037.0,Yellow Cab,3
121,27260.0,Yellow Cab,1
122,29125.0,Yellow Cab,2
123,27614.0,Pink Cab,2
124,27614.0,Yellow Cab,2
125,28459.0,Pink Cab,1
126,28459.0,Yellow Cab,1
127,27631.0,Pink Cab,1
128,27631.0,Yellow Cab,3
129,29170.0,Pink Cab,3
130,29170.0,Yellow Cab,1
131,29857.0,Pink Cab,1
132,29857.0,Yellow Cab,2
133,29273.0,Pink Cab,1
134,29273.0,Yellow Cab,4
135,28042.0,Yellow Cab,4
136,29509.0,Yellow Cab,4
137,27719.0,Pink Cab,2
138,27719.0,Yellow Cab,2
139,27015.0,Pink Cab,1
140,27015.0,Yellow Cab,4
141,27380.0,Pink Cab,1
142,27380.0,Yellow Cab,2
143,28901.0,Pink Cab,1
144,28901.0,Yellow Cab,3
145,29700.0,Pink Cab,2
146,29700.0,Yellow Cab,3
